iter	Passed	Remaining
0	26	26043
1	50	25328
2	66	22040
3	107	26752
4	119	23681
5	161	26702
6	175	24910
7	204	25312
8	230	25381
9	260	25742
10	284	25546
11	294	24247
12	317	24133
13	343	24191
14	373	24493
15	392	24119
16	420	24311
17	449	24523
18	478	24701
19	505	24749
20	534	24914
21	566	25169
22	595	25309
23	626	25470
24	654	25524
25	685	25686
26	715	25776
27	742	25783
28	772	25852
29	799	25857
30	830	25947
31	858	25981
32	886	25972
33	914	25972
34	942	25987
35	974	26086
36	1027	26755
37	1058	26785
38	1086	26767
39	1115	26763
40	1146	26825
41	1189	27124
42	1227	27311
43	1256	27310
44	1285	27284
45	1315	27274
46	1344	27256
47	1372	27227
48	1403	27237
49	1435	27270
50	1463	27235
51	1491	27184
52	1518	27131
53	1545	27079
54	1572	27022
55	1603	27023
56	1631	26991
57	1658	26939
58	1685	26884
59	1713	26845
60	1745	26869
61	1772	26816
62	1799	26766
63	1826	26716
64	1854	26669
65	1882	26642
66	1909	26595
67	1936	26539
68	1962	26479
69	1989	26431
70	2018	26409
71	2045	26367
72	2073	26334
73	2102	26309
74	2133	26307
75	2162	26293
76	2192	26285
77	2223	26283
78	2251	26243
79	2278	26198
80	2306	26167
81	2333	26124
82	2360	26084
83	2389	26052
84	2416	26016
85	2443	25974
86	2472	25942
87	2498	25897
88	2536	25961
89	2564	25925
90	2591	25883
91	2617	25832
92	2644	25788
93	2676	25792
94	2703	25754
95	2733	25740
96	2760	25700
97	2788	25663
98	2816	25632
99	2844	25599
100	2870	25551
101	2897	25511
102	2925	25473
103	2951	25429
104	2979	25393
105	3006	25360
106	3033	25320
107	3061	25284
108	3087	25238
109	3114	25195
110	3140	25149
111	3177	25196
112	3210	25199
113	3236	25153
114	3263	25112
115	3290	25075
116	3318	25044
117	3343	24990
118	3371	24957
119	3399	24930
120	3427	24901
121	3454	24860
122	3479	24809
123	3505	24766
124	3535	24747
125	3562	24711
126	3589	24675
127	3617	24643
128	3644	24610
129	3671	24569
130	3698	24536
131	3730	24530
132	3757	24492
133	3784	24459
134	3812	24425
135	3841	24403
136	3869	24373
137	3897	24343
138	3923	24304
139	3951	24274
140	3978	24237
141	4006	24206
142	4033	24174
143	4061	24141
144	4088	24109
145	4114	24065
146	4142	24036
147	4168	23998
148	4196	23966
149	4233	23991
150	4262	23965
151	4291	23941
152	4318	23908
153	4346	23875
154	4373	23840
155	4400	23807
156	4428	23780
157	4456	23751
158	4484	23719
159	4513	23693
160	4542	23671
161	4572	23652
162	4603	23637
163	4630	23604
164	4657	23569
165	4684	23536
166	4712	23507
167	4741	23480
168	4768	23445
169	4795	23412
170	4822	23380
171	4849	23345
172	4875	23306
173	4902	23273
174	4930	23243
175	4958	23214
176	4986	23183
177	5013	23152
178	5039	23115
179	5066	23079
180	5092	23042
181	5119	23010
182	5146	22977
183	5174	22946
184	5200	22912
185	5229	22885
186	5258	22860
187	5285	22827
188	5312	22795
189	5362	22862
190	5390	22830
191	5416	22795
192	5445	22767
193	5474	22743
194	5500	22706
195	5526	22669
196	5554	22639
197	5582	22610
198	5611	22586
199	5636	22545
200	5662	22509
201	5688	22474
202	5716	22443
203	5743	22411
204	5770	22380
205	5800	22356
206	5842	22380
207	5869	22350
208	5896	22316
209	5923	22282
210	5949	22248
211	5978	22222
212	6008	22202
213	6041	22189
214	6069	22161
