iter	MultiClass
0	3.127543731
1	3.066147059
2	3.002356088
3	2.941329522
4	2.879641234
5	2.818079288
6	2.773231736
7	2.724507219
8	2.672251651
9	2.615030956
10	2.571379343
11	2.521015093
12	2.480556477
13	2.438954699
14	2.398760502
15	2.364846619
16	2.327073942
17	2.290806422
18	2.251227556
19	2.212234692
20	2.179790541
21	2.13686927
22	2.108125754
23	2.080716125
24	2.050893868
25	2.020818004
26	1.988420406
27	1.959509179
28	1.930068935
29	1.900705216
30	1.868648183
31	1.844003362
32	1.81640664
33	1.792633585
34	1.770203691
35	1.745841968
36	1.722586703
37	1.696689021
38	1.673064397
39	1.646907517
40	1.621976839
41	1.602271933
42	1.582863597
43	1.562894338
44	1.542090511
45	1.523285281
46	1.504818246
47	1.486573674
48	1.464856225
49	1.445005227
50	1.426743924
51	1.408784686
52	1.392723372
53	1.375058091
54	1.357834998
55	1.341900763
56	1.322483029
57	1.306275565
58	1.290493561
59	1.274516795
60	1.259912855
61	1.245139384
62	1.229613827
63	1.213913269
64	1.199331092
65	1.185401008
66	1.171808696
67	1.15863517
68	1.144866407
69	1.131721189
70	1.118950663
71	1.106760972
72	1.092721484
73	1.080089826
74	1.06795042
75	1.055612131
76	1.044309411
77	1.032932054
78	1.021550361
79	1.010230803
80	0.9985069288
81	0.9881234983
82	0.9771054275
83	0.9658316
84	0.9557364303
85	0.9456134608
86	0.935420773
87	0.925485233
88	0.9163091294
89	0.9068283016
90	0.8971743414
91	0.8880753389
92	0.8778580849
93	0.868715286
94	0.8598231532
95	0.8505248956
96	0.8417900587
97	0.8329756758
98	0.8239276867
99	0.8154142094
100	0.8072188982
101	0.7990350878
102	0.7910249787
103	0.7827472938
104	0.7745070116
105	0.7665772943
106	0.7589357072
107	0.7520467039
108	0.7446246659
109	0.7375014059
110	0.7302142727
111	0.7234464123
112	0.7166062763
113	0.7095740407
114	0.7028534552
115	0.6963083569
116	0.6896212428
117	0.6831676942
118	0.6763048358
119	0.670276267
120	0.6636626958
121	0.6576017808
122	0.652035921
123	0.6457058326
124	0.6398723766
125	0.6341897553
126	0.6284073026
127	0.6226711553
128	0.6164782425
129	0.6106479279
130	0.6051447623
131	0.5995119072
132	0.5941497431
133	0.5884724019
134	0.5832960349
135	0.5779747138
136	0.5728919072
137	0.5678823078
138	0.563015054
139	0.5580033811
140	0.5529462785
141	0.5485491331
142	0.5439051832
143	0.5390348433
144	0.5341531896
145	0.529400195
146	0.5249334862
147	0.5201524674
148	0.5156490335
149	0.5111078884
150	0.506824288
151	0.5027851816
152	0.4986682383
153	0.4947462003
154	0.4910668636
155	0.4872710805
156	0.4833931067
157	0.4796431571
158	0.4756169542
159	0.4721214097
160	0.4681776848
161	0.4646002586
162	0.4611596759
163	0.4572453353
164	0.4539769116
165	0.4504207364
166	0.4470757439
167	0.4435526517
168	0.4397671658
169	0.4364736361
170	0.4328149441
171	0.429529671
172	0.4261517511
173	0.4230006977
174	0.4198943914
175	0.416860719
176	0.4137726869
177	0.4108112698
178	0.4079702275
179	0.4048384561
180	0.4019872359
181	0.3990447015
182	0.3958690753
183	0.3931028231
184	0.3905709225
185	0.3878334454
186	0.3851589203
187	0.3825170542
188	0.3796989932
189	0.3768238694
190	0.3740592081
191	0.3713933203
192	0.3687700598
193	0.3662159259
194	0.3636422962
195	0.3611312038
196	0.3586713372
197	0.3563848002
198	0.3539623052
199	0.3515747697
200	0.3491607124
201	0.3469324742
202	0.3444778826
203	0.3420772184
204	0.3397923731
205	0.3374239611
206	0.3354211673
207	0.3333090085
208	0.3310847108
209	0.3289097319
210	0.3266383963
211	0.3246072261
212	0.3223575715
213	0.3205262337
214	0.3184297462
215	0.3164318015
216	0.3144076293
217	0.3123803193
218	0.3102799686
219	0.3083929831
220	0.3064300553
221	0.304574369
222	0.3027445178
223	0.3007534358
224	0.298833254
225	0.2970765314
226	0.2951992107
227	0.2934297918
228	0.2916644724
229	0.2898989669
230	0.2882600037
231	0.2863183262
232	0.2845724584
233	0.282723579
234	0.2808407104
235	0.2789859966
236	0.2774174136
237	0.2756750818
238	0.2740499916
239	0.2722091051
240	0.2704643857
241	0.2687163612
242	0.26712922
243	0.265658527
244	0.2640261849
245	0.2623310232
246	0.260767893
247	0.2592603043
248	0.2576970507
249	0.2563475019
250	0.2548325342
251	0.2533486621
252	0.2519460238
253	0.2506858084
254	0.2493345981
255	0.2481150573
256	0.2466630966
257	0.2454427431
258	0.2440610106
259	0.242739057
260	0.2413195406
261	0.2400343837
262	0.2385840515
263	0.2373181648
264	0.2360547597
265	0.234839668
266	0.2336562102
267	0.2322269005
268	0.2307472536
269	0.2294537898
270	0.2282944553
271	0.2270969906
272	0.2259859775
273	0.2248480219
274	0.2236415258
275	0.222542236
276	0.2213656151
277	0.2201293323
278	0.2190031964
279	0.2178834798
280	0.2168478812
281	0.2157656583
282	0.2146013789
283	0.2135082368
284	0.2124021131
285	0.2113582174
286	0.2102507939
287	0.2090232991
288	0.2079711641
289	0.2069758068
290	0.205963577
291	0.2048689141
292	0.2039021955
293	0.2028772175
294	0.2018323678
295	0.2008981952
296	0.1999071156
297	0.198881926
298	0.1979639481
299	0.1970304607
300	0.1959905018
301	0.195014174
302	0.1940904151
303	0.1930999998
304	0.1921704817
305	0.1913000945
306	0.1903527621
307	0.189545792
308	0.1885830509
309	0.1876590415
310	0.1868470682
311	0.1860218385
312	0.1851360497
313	0.1843017738
314	0.1834413817
315	0.1825641629
316	0.1817876828
317	0.1809265017
318	0.1801299112
319	0.179239017
320	0.1784787012
321	0.1775830681
322	0.1767827754
323	0.1759970679
324	0.1752498748
325	0.1743928022
326	0.1735621009
327	0.1727574064
328	0.1719804589
329	0.171263534
330	0.1704941606
331	0.1696641148
332	0.1688954388
333	0.1682036879
334	0.1675071452
335	0.1668370726
336	0.1661808556
337	0.1655002298
338	0.1648149516
339	0.1640676739
340	0.1633963198
341	0.1626656886
342	0.1619559798
343	0.1612031936
344	0.1605176508
345	0.1598772166
346	0.1592214925
347	0.1586112201
348	0.1579772346
349	0.1572226671
350	0.1566273288
351	0.1558849584
352	0.1552109865
353	0.1545385498
354	0.1538550639
355	0.1531668594
356	0.1525724082
357	0.1518992793
358	0.1512999007
359	0.1507485859
360	0.1501628122
361	0.1495508083
362	0.1488526689
363	0.1482902964
364	0.147740834
365	0.1472129526
366	0.146569374
367	0.1459636931
368	0.1454298737
369	0.1448380657
370	0.1442344705
371	0.1436766906
372	0.1431007765
373	0.1425595532
374	0.1419962983
375	0.1414540216
376	0.1408815523
377	0.140389288
378	0.13983506
379	0.1393363099
380	0.1388061409
381	0.1382722441
382	0.1378184131
383	0.1372834758
384	0.1367342462
385	0.1362555456
386	0.1357296163
387	0.1351657316
