iter	Passed	Remaining
0	74	68674
1	150	69338
2	224	68861
3	302	69686
4	381	70059
5	454	69549
6	529	69388
7	606	69404
8	682	69340
9	757	69211
10	833	69221
11	907	68988
12	982	68877
13	1055	68578
14	1133	68674
15	1208	68582
16	1282	68443
17	1355	68235
18	1431	68165
19	1505	68067
20	1582	68059
21	1656	67925
22	1731	67843
23	1807	67793
24	1883	67718
25	1958	67642
26	2031	67498
27	2108	67471
28	2189	67581
29	2263	67438
30	2336	67303
31	2412	67237
32	2485	67096
33	2561	67055
34	2640	67060
35	2713	66929
36	2788	66857
37	2861	66722
38	2936	66644
39	3011	66556
40	3084	66436
41	3158	66335
42	3233	66239
43	3306	66134
44	3379	66005
45	3452	65892
46	3528	65845
47	3606	65817
48	3684	65803
49	3762	65772
50	3842	65776
51	3916	65684
52	3991	65603
53	4068	65553
54	4143	65461
55	4217	65367
56	4290	65266
57	4367	65209
58	4441	65112
59	4515	65025
60	4593	64983
61	4666	64881
62	4742	64811
63	4816	64720
64	4891	64641
65	4966	64570
66	5042	64493
67	5116	64407
68	5193	64357
69	5267	64266
70	5342	64185
71	5416	64092
72	5489	63998
73	5564	63916
74	5641	63867
75	5720	63825
76	5798	63783
77	5872	63694
78	5947	63613
79	6023	63543
80	6098	63468
81	6172	63382
82	6245	63280
83	6318	63187
84	6393	63105
85	6470	63045
86	6546	62978
87	6620	62898
88	6693	62800
89	6768	62723
90	6845	62661
91	6918	62568
92	6992	62485
93	7066	62391
94	7139	62302
95	7216	62243
96	7291	62167
97	7365	62080
98	7440	62001
99	7513	61913
100	7587	61825
101	7661	61743
102	7734	61654
103	7818	61643
104	7891	61552
105	7965	61465
106	8038	61380
107	8114	61306
108	8188	61222
109	8264	61157
110	8340	61085
111	8415	61010
112	8490	60936
113	8563	60844
114	8641	60793
115	8715	60707
116	8787	60613
117	8875	60622
118	8949	60538
119	9022	60451
120	9096	60367
121	9169	60275
122	9245	60207
123	9318	60121
124	9393	60041
125	9465	59948
126	9540	59874
127	9614	59787
128	9689	59713
129	9762	59629
130	9837	59551
131	9911	59468
132	9986	59390
133	10061	59315
134	10135	59237
135	10208	59148
136	10283	59075
137	10357	58994
138	10430	58906
139	10503	58820
140	10578	58744
141	10654	58672
142	10728	58593
143	10805	58531
144	10896	58538
145	10971	58462
146	11047	58396
147	11122	58319
148	11197	58243
149	11271	58160
150	11343	58071
151	11419	57999
152	11497	57936
153	11570	57850
154	11644	57770
155	11723	57714
156	11799	57643
157	11875	57575
158	11950	57497
159	12025	57422
160	12097	57332
161	12170	57248
162	12244	57166
163	12322	57103
164	12394	57014
165	12469	56941
166	12544	56862
167	12619	56788
168	12693	56707
169	12770	56639
170	12844	56561
171	12919	56486
172	12995	56412
173	13069	56334
174	13143	56254
175	13220	56189
176	13295	56109
177	13368	56026
178	13444	55956
179	13523	55895
180	13594	55803
181	13670	55734
182	13744	55653
183	13819	55577
184	13891	55491
185	13976	55455
186	14051	55378
187	14125	55298
188	14198	55216
189	14273	55138
190	14348	55065
191	14424	54992
192	14498	54914
193	14571	54830
194	14644	54746
195	14717	54664
196	14791	54584
197	14865	54507
198	14939	54429
199	15016	54359
200	15091	54283
201	15166	54210
202	15243	54142
203	15317	54061
204	15392	53988
205	15469	53916
206	15542	53834
207	15620	53769
208	15694	53692
209	15768	53613
210	15842	53535
211	15917	53458
212	15994	53389
213	16074	53330
214	16149	53256
215	16223	53177
216	16297	53098
217	16374	53028
218	16446	52945
219	16520	52866
220	16593	52785
221	16668	52707
222	16743	52632
223	16822	52569
224	16898	52499
225	16973	52421
226	17047	52345
227	17123	52270
228	17198	52197
229	17274	52124
230	17347	52042
231	17422	51968
232	17496	51889
233	17572	51815
234	17646	51737
235	17722	51664
236	17799	51596
237	17873	51517
238	17949	51444
239	18023	51368
240	18098	51292
241	18171	51210
242	18246	51135
243	18320	51058
244	18393	50977
245	18466	50896
246	18539	50816
247	18615	50742
248	18689	50663
249	18765	50592
250	18841	50520
251	18916	50442
252	18988	50361
253	19069	50301
254	19146	50231
255	19219	50150
256	19295	50077
257	19370	50001
258	19443	49922
259	19521	49855
260	19597	49782
261	19672	49707
262	19747	49631
263	19822	49556
264	19896	49477
265	19968	49396
266	20045	49325
267	20121	49252
268	20197	49179
269	20271	49102
270	20344	49021
271	20417	48942
272	20491	48863
273	20566	48790
274	20643	48719
275	20717	48640
276	20791	48563
277	20864	48484
278	20938	48405
279	21013	48330
280	21087	48254
281	21162	48178
282	21237	48103
283	21311	48026
284	21387	47953
285	21463	47879
286	21537	47803
287	21612	47728
288	21688	47654
289	21765	47583
290	21841	47509
291	21915	47434
292	21992	47361
